//
// Fantom Unit Database
//
// Quantity sections are delimited as "-- {name} (dim)".  Each unit
// must match the string format specified by Unit.define.
//
// History:
//   20 Dec 08  Brian Frank  Auto generate from oBIX database
//   15 Sep 10  Brian Frank  Rework to be simple text file
//

-- dimensionless (null)
percent, %
pixel, px
decibel, db
power_factor, pf
pH
percent_relative_humidity, %RH
grams_of_water_per_kilogram_dry_air, gH₂O/kgAir
volts_per_degree_kelvin, V/K
degree_days_celsius, °daysC
degree_days_fahrenheit, °daysF
percent_obscuration_per_foot, %obsc/ft
percent_obscuration_per_meter, %obsc/m
psi_per_degree_fahrenheit, psi/°F
square_meters_per_newton, m²/N
watts_per_square_meter_degree_kelvin, W/m²K
ampere_square_meter, Am²
db_milliVolt, dBmV
db_microVolt, dBuV
parts_per_unit, ppu
parts_per_million, ppm; ; 1.0E-6
parts_per_billion, ppb; ; 1.0E-9
grams_per_kilogram, g/kg; ; 0.0010
radian, rad
degrees_angular, deg; ; 0.017453292519943
degrees_phase, degPh; ; 0.017453292519943
steradian, sr
nephelometric_turbidity_units, ntu
formazin_nephelometric_unit, fnu

-- acceleration (m1*sec-2)
meters_per_second_sqared, m/s²; m1*sec-2

-- angular acceleration (sec-2)
radians_per_second_sqared, rad/s²; sec-2

-- angular momentum (kg1*m2*sec-1)
joule_second, Js; kg1*m2*sec-1

-- angular velocity (sec-1)
radians_per_second, rad/s; sec-1
revolutions_per_minute, rpm; sec-1; 6.2831853071796

-- area (m2)
square_meter, m²; m2
square_millimeter, mm²; m2; 1.0E-6
square_centimeter, cm²; m2; 1.0E-4
square_kilometer, km²; m2; 1000000.0
square_inch, in²; m2; 6.45161E-4
square_foot, ft²; m2; 0.092903
square_yard, yd²; m2; 0.836131
square_mile, mile²; m2; 2589988.110336
acre; m2; 4046.872627

-- capacitance (kg-1*m-2*sec4*A2)
farad, F; kg-1*m-2*sec4*A2

-- density (kg1*m-3)
kilograms_per_cubic_meter, kg/m³; kg1*m-3

-- electric charge (sec1*A1)
coulomb, C; sec1*A1

-- electric conductance (kg-1*m-2*sec3*A2)
siemens, S; kg-1*m-2*sec3*A2

-- electric current (A1)
ampere, A; A1
milliampere, mA; A1; 0.0010

-- electric current density (m-2*A1)
amperes_per_square_meter, A/m²; m-2*A1

-- electric field strength (kg1*m1*sec-3*A-1)
volts_per_meter, V/m; kg1*m1*sec-3*A-1

-- electric potential (kg1*m2*sec-3*A-1)
Volt, V; kg1*m2*sec-3*A-1
milliVolt, mV; kg1*m2*sec-3*A-1; 0.0010
kiloVolt, kV; kg1*m2*sec-3*A-1; 1000.0
megaVolt, MV; kg1*m2*sec-3*A-1; 1000000.0

-- electric resistance (kg1*m2*sec-3*A-2)
ohm, Ω; kg1*m2*sec-3*A-2
kilohm, kΩ; kg1*m2*sec-3*A-2; 1000.0
megohm, MΩ; kg1*m2*sec-3*A-2; 1000000.0
milliohm, mΩ; kg1*m2*sec-3*A-2; 0.0010

-- electrical conductivity (kg-1*m-3*sec3*A2)
siemens_per_meter, S/m; kg-1*m-3*sec3*A2

-- electrical resistivity (kg1*m3*sec-3*A-2)
ohm_meter, Ωm; kg1*m3*sec-3*A-2

-- energy (kg1*m2*sec-2)
joule, J; kg1*m2*sec-2
kilojoule, kJ; kg1*m2*sec-2; 1000.0
watt_hour, Wh; kg1*m2*sec-2; 3600.0
kilowatt_hour, kWh; kg1*m2*sec-2; 3600000.0
megawatt_hour, MWh; kg1*m2*sec-2; 3.6E9
btu, BTU; kg1*m2*sec-2; 1054.852
kilobtu, kBTU; kg1*m2*sec-2; 1054852.0
megabtu, MBTU; kg1*m2*sec-2; 1.054852E9
horsepower_hour, hph; kg1*m2*sec-2; 2686088.6
calorie, cal; kg1*m2*sec-2; 4.184
therm; kg1*m2*sec-2; 1.05506E8
tons_refrigeration_hour, tonrefh; kg1*m2*sec-2; 1.26606708E7
megajoule, MJ; kg1*m2*sec-2; 1000000.0
newton_meter, Nm; kg1*m2*sec-2

-- apparent energy (kg1*m2*sec-2)
volt_ampere_hour, VAh; kg1*m2*sec-2; 3600.0
kilovolt_ampere_hour, kVAh; kg1*m2*sec-2; 3600000.0
megavolt_ampere_hour, MVAh; kg1*m2*sec-2; 3.6E9

-- reactive energy (kg1*m2*sec-2)
volt_ampere_reactive_hour, VARh; kg1*m2*sec-2; 3600.0
kilovolt_ampere_reactive_hour, kVARh; kg1*m2*sec-2; 3600000.0
megavolt_ampere_reactive_hour, MVARh; kg1*m2*sec-2; 3.6E9

-- energy by area (kg1*sec-2)
joules_per_square_meter, J/m²; kg1*sec-2
kilowatt_hours_per_square_meter, kWh/m²; kg1*sec-2; 3600000.0
kilowatt_hours_per_square_foot, kWh/ft²; kg1*sec-2; 3.8750077500155E7
megajoules_per_square_meter, MJ/m²; kg1*sec-2; 1000000.0
megajoules_per_square_foot, MJ/ft²; kg1*sec-2; 1.076391041671E7

-- enthalpy (m2*sec-2)
joules_per_gram, J/g; m2*sec-2; 0.0010
joules_per_kilogram, J/kg; m2*sec-2
joules_per_kilogram_dry_air, J/kg_dry; m2*sec-2
btu_per_pound, BTU/lb; m2*sec-2; 2325.5576058607867
btus_per_pound_dry_air, btu/lb_dry; m2*sec-2; 2326.0
kilojoules_per_kilogram, kJ/kg; m2*sec-2; 1000.0
kilojoules_per_kilogram_dry_air, kJ/kg_dry; m2*sec-2; 1000.0
megajoules_per_kilogram_dry_air, MJ/kg_dry; m2*sec-2; 1000000.0
calorie_per_gram, cal/g; m2*sec-2; 4184.0

-- entropy (kg1*m2*sec-2*K-1)
joules_per_degree_kelvin, J/°K; kg1*m2*sec-2*K-1
